Vitamin C (mg per 100g),Vitamin B11 (mg per 100g),Sodium (mg per 100g),Calcium (mg per 100g),Carbohydrates (g per 100g),Iron (mg per 100g),Calories (kcal per 100g),Sugars (g per 100g),Dietary Fiber (g per 100g),Fat (g per 100g),Protein (g per 100g),food,food_normalized
0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,13.6,0.0,teaseed oil,teaseed oil
0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,14.0,0.0,avocado oil,avocado oil
0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,13.6,0.0,vegetable palm kernel oil,vegetable palm kernel oil
0.0,0.0,0.0,0.029,0.0,0.0,117.0,0.0,0.0,13.6,0.0,coconut oil,coconut oil
0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,13.6,0.0,safflower oil,safflower oil
0.0,0.0,0.0,0.073,0.0,0.0,120.0,0.0,0.0,13.6,0.0,vegetable oil,vegetable oil
0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,4.5,0.0,apricot kernel oil,apricot kernel oil
0.0,0.0,0.0,0.0,0.0,0.004,119.0,0.0,0.0,13.5,0.0,peanut oil,peanut oil
0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,13.6,0.0,poppyseed oil,poppyseed oil
0.0,0.0,0.0,0.1,0.0,0.0,120.0,0.0,0.0,13.6,0.086,flaxseed oil,flaxseed oil
0.0,0.0,0.0,0.0,0.0,0.0,1927.0,0.0,0.0,218.0,0.0,tomatoseed oil,tomatoseed oil
0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,13.6,0.0,wheat germ oil,wheat germ oil
0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,4.5,0.0,sesame oil,sesame oil
0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,14.0,0.0,corn granola oil,corn granola oil
0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,13.6,0.0,cocoa butter oil,cocoa butter oil
0.0,0.0,0.004,0.1,0.0,0.092,119.0,0.0,0.0,13.5,0.0,olive oil,olive oil
0.0,0.0,0.098,0.033,0.0,0.0,40.0,0.0,0.0,4.5,0.0,palm kernel oil,palm kernel oil
0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,14.0,0.0,mustard oil,mustard oil
0.0,0.0,0.0,0.0,0.0,0.001,120.0,0.0,0.0,13.6,0.0,rice bran oil,rice bran oil
0.0,0.2,0.06,28.6,62.9,3.6,308.0,0.0,3.6,0.9,11.0,vegetable macaroni dry,vegetable macaroni dry
0.0,0.048,0.5,11.2,37.5,2.6,257.0,0.5,1.5,9.9,5.9,chow mein noodles,chow mein noodles
0.031,0.2,0.088,0.0,111.9,0.1,456.0,0.0,0.7,0.094,0.2,chinese noodles,chinese noodles
0.0,0.045,0.015,14.7,35.7,0.7,172.0,1.5,5.8,0.1,6.1,vegetable macaroni cooked,vegetable macaroni cooked
0.0,0.048,0.027,4.2,83.2,1.0,375.0,0.0,11.6,2.2,7.8,corn pasta dry,corn pasta dry
0.0,0.029,0.095,13.3,27.1,0.7,146.0,0.7,1.3,1.7,5.4,egg noodles dry,egg noodles dry
0.0,0.024,0.002,11.3,21.2,1.0,98.0,0.0,0.0,0.4,4.1,whole wheat spaghetti dry,whole wheat spaghetti dry
0.0,0.023,0.2,9.9,21.1,0.8,95.0,0.0,0.0,0.2,4.1,japanese soba noodles dry,japanese soba noodles dry
0.0,0.091,0.006,5.1,23.6,0.2,103.0,0.0,0.5,0.2,1.0,rice noodles dry,rice noodles dry
0.0,0.007,0.094,16.4,21.2,0.6,105.0,0.8,3.0,0.4,3.8,spinach spaghetti dry,spinach spaghetti dry
0.029,0.2,0.027,0.0,20.1,0.051,110.0,0.3,1.0,1.7,3.6,egg noodles cooked,egg noodles cooked
0.0,0.039,0.3,14.1,48.5,0.9,231.0,0.0,0.0,0.3,7.0,japanese somen noodles cooked,japanese somen noodles cooked
0.0,0.023,0.028,42.0,78.8,3.8,365.0,0.0,8.7,1.5,15.4,whole wheat macaroni dry,whole wheat macaroni dry
0.0,0.0,0.0,0.0,4.1,0.0,41.0,1.0,0.5,1.6,2.5,pasta marinara and ground beef sauce,pasta marinara and ground beef sauce
0.0,0.2,0.097,22.1,78.4,3.5,390.0,2.8,3.4,1.6,13.7,macaroni raw,macaroni raw
0.0,0.061,0.09,5.9,21.1,0.9,105.0,0.8,0.9,0.4,3.7,spaghetti dry,spaghetti dry
0.0,0.0,0.0,0.0,3.4,0.0,100.0,0.041,0.0,0.4,0.0,fusilli cucina,fusilli cucina
0.0,0.028,0.5,6.5,21.0,0.4,101.0,0.0,1.2,0.2,3.2,japanese somen noodles dry,japanese somen noodles dry
0.0,0.1,0.073,13.8,57.3,2.6,301.0,0.0,0.0,2.4,11.8,pasta cooked,pasta cooked
0.089,0.4,0.071,0.0,43.2,0.1,221.0,0.8,2.5,1.3,8.1,macaroni cooked,macaroni cooked
0.0,0.083,0.096,21.3,26.7,1.6,145.0,0.0,2.6,1.7,5.6,spinach egg noodles dry,spinach egg noodles dry
0.0,0.022,0.1,4.6,24.4,0.5,113.0,0.0,0.0,0.1,5.8,japanese soba noodles cooked,japanese soba noodles cooked
0.0,0.009,0.075,7.0,42.3,0.2,190.0,0.052,1.8,0.4,3.2,rice noodles cooked,rice noodles cooked
0.0,0.039,0.057,21.0,37.2,1.5,174.0,1.1,3.9,0.8,7.5,whole wheat macaroni cooked,whole wheat macaroni cooked
0.1,0.6,0.089,0.0,71.0,0.2,363.0,1.3,4.1,2.1,13.3,spaghetti cooked,spaghetti cooked
0.0,0.081,0.091,21.0,37.2,1.5,174.0,1.1,6.3,0.8,7.5,whole wheat spaghetti cooked,whole wheat spaghetti cooked
0.3,0.062,0.4,191.3,24.7,1.7,218.0,0.0,0.0,10.6,5.9,waffle,waffle
0.0,0.038,0.004,12.5,8.3,0.2,61.0,0.2,0.9,2.7,0.8,baked taco shell,baked taco shell
0.0,0.1,0.6,24.5,112.0,6.4,1367.0,1.8,3.7,94.3,18.1,puff pastry,puff pastry
0.034,0.068,0.2,0.054,30.2,0.063,214.0,17.9,0.6,9.2,2.6,blueberry muffin,blueberry muffin
0.0,0.019,0.1,16.1,15.0,0.5,113.0,7.0,0.5,5.1,2.0,warm cinnamon roll mcdonalds,warm cinnamon roll mcdonalds
0.0,0.043,0.3,48.8,33.7,1.9,201.0,11.7,2.2,5.5,3.9,corn muffin,corn muffin
0.0,0.2,0.9,137.9,98.4,7.5,467.0,5.4,4.7,1.9,14.3,tortilla,tortilla
0.0,0.057,0.4,38.4,25.4,1.1,186.0,1.8,2.0,7.3,4.3,croutons seasoned,croutons seasoned
0.0,0.045,0.2,98.7,16.0,2.2,102.0,1.5,0.9,3.1,2.4,buttermilk waffle,buttermilk waffle
0.0,0.065,0.4,79.9,24.1,1.6,146.0,1.3,1.2,3.7,3.9,flour tortilla,flour tortilla
0.2,0.062,0.082,13.1,6.2,0.3,55.0,3.0,0.3,3.0,0.8,glazed donut,glazed donut
0.0,0.036,0.075,19.4,10.7,0.3,52.0,0.2,1.5,0.7,1.4,corn tortilla,corn tortilla
0.2,0.094,0.3,114.0,23.6,1.4,169.0,0.0,1.5,6.5,3.9,muffin,muffin
0.0,0.061,0.035,6.1,5.9,0.3,33.0,0.0,0.4,0.5,1.0,croutons,croutons
0.0,0.086,0.4,21.3,33.2,1.5,289.0,17.9,0.8,15.9,5.0,donut with jelly filling,donut with jelly filling
1.7,0.003,0.3,59.8,42.2,1.3,309.0,26.3,2.0,13.6,5.1,sweet cinnamon rolls,sweet cinnamon rolls
0.0,0.09,0.067,10.7,8.2,0.7,46.0,1.4,0.8,1.3,1.2,oat bran muffin,oat bran muffin
0.0,0.062,0.1,10.7,24.4,1.0,169.0,14.4,0.5,7.5,1.3,french cruller donut,french cruller donut
0.1,0.031,0.2,83.2,10.8,0.7,86.0,0.0,0.0,3.7,2.4,pancakes,pancakes
0.041,0.059,0.1,127.8,34.4,1.4,250.0,19.2,1.3,11.9,2.7,chocolate donut,chocolate donut
0.1,0.06,0.2,77.9,28.8,0.5,238.0,0.0,0.8,12.1,4.7,sweet cheese rolls,sweet cheese rolls
0.2,0.02,0.1,31.5,11.2,0.9,234.0,2.0,0.4,19.2,4.4,eclair,eclair
0.0,0.02,0.3,21.3,25.5,1.6,307.0,12.4,0.7,20.8,5.4,donut with cream filling,donut with cream filling
0.0,0.051,0.2,5.6,37.1,2.0,209.0,14.8,0.5,5.6,2.4,fruit toaster pastry,fruit toaster pastry
0.027,0.082,0.2,27.0,22.9,0.5,192.0,0.0,0.7,10.3,2.3,donut,donut
0.2,0.094,0.3,110.0,12.9,1.4,92.0,0.0,1.2,2.9,3.7,pancakes whole wheat,pancakes whole wheat
0.0,0.0,0.2,26.5,22.3,1.1,196.0,10.8,0.5,10.6,2.9,keikitos,keikitos
0.01,0.007,0.05,0.041,5.2,0.083,30.0,0.9,0.2,0.7,0.7,zwieback,zwieback
0.2,0.077,0.099,4.3,9.2,0.7,81.0,4.8,0.3,4.5,0.9,chocolate coated donut,chocolate coated donut
0.0,0.023,0.2,101.3,16.3,2.3,103.0,1.7,0.8,3.2,2.4,waffle toasted,waffle toasted
0.017,0.063,0.2,17.0,34.1,2.0,206.0,0.0,0.5,7.1,2.6,cinnamon toaster pastry,cinnamon toaster pastry
0.0,0.082,0.2,26.6,17.2,1.1,89.0,3.5,1.4,1.2,3.2,wheat bran bread,wheat bran bread
0.038,0.2,0.1,0.081,14.3,0.04,77.0,1.6,0.8,1.0,2.6,white bread,white bread
0.0,0.066,0.1,19.5,11.9,0.9,71.0,2.3,1.4,1.3,3.1,oat bran bread,oat bran bread
0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,0.0,whole wheat bread natures own,whole wheat bread natures own
0.0,0.0,0.0,0.0,15.3,0.0,152.0,0.6,0.0,3.0,0.0,high protein bread dr zaks,high protein bread dr zaks
0.062,0.1,0.1,0.026,13.8,0.066,79.0,1.7,1.2,1.3,3.1,wheat bread,wheat bread
0.0,0.066,0.2,37.7,19.5,1.2,117.0,0.7,0.9,2.4,3.9,egg bread toasted,egg bread toasted
0.0,0.0,0.0,0.0,2.0,0.0,66.0,0.4,0.0,0.9,0.0,butter toastbrot ja,butter toastbrot ja
0.095,0.037,0.2,13.6,18.0,1.1,93.0,1.0,0.9,0.6,3.8,vienna bread toasted,vienna bread toasted
0.095,0.08,0.2,14.1,18.1,1.2,92.0,0.8,0.8,0.6,3.8,vienna bread,vienna bread
0.0,0.043,0.008,23.6,8.3,0.8,47.0,0.3,0.6,0.4,2.3,protein bread,protein bread
1.0,0.073,0.2,12.0,31.1,0.8,186.0,0.0,0.6,6.0,2.5,banana bread,banana bread
0.0,0.063,0.081,18.6,11.7,1.0,66.0,1.3,1.3,1.2,2.4,rice bran bread,rice bran bread
0.0,0.0,0.0,0.0,18.0,0.0,95.0,2.0,1.5,1.0,3.5,white fibre wonder bread,white fibre wonder bread
0.0,0.038,0.3,20.0,20.4,1.8,142.0,1.0,1.0,4.5,5.0,focaccia,focaccia
0.0,0.035,0.1,19.2,11.8,0.9,70.0,2.3,1.3,1.3,3.1,oat bran bread toasted,oat bran bread toasted
0.1,0.037,0.2,23.4,15.5,0.9,83.0,1.2,1.9,1.1,2.7,rye bread,rye bread
0.033,0.059,0.2,24.9,13.5,1.0,73.0,1.0,0.6,0.8,2.7,wheat germ bread,wheat germ bread
0.0,0.023,0.049,23.1,8.2,0.8,46.0,0.2,0.6,0.4,2.2,protein bread toasted,protein bread toasted
0.0,0.064,0.1,17.8,13.1,0.7,73.0,2.2,1.1,1.2,2.3,oatmeal bread,oatmeal bread
0.0,0.0,0.3,87.2,36.4,1.0,215.0,0.9,2.5,5.3,5.4,arepa,arepa
0.1,0.077,0.1,20.9,16.5,0.9,86.0,1.8,1.4,1.4,2.5,raisin bread toasted,raisin bread toasted
0.0,0.011,0.2,12.2,14.0,0.8,74.0,0.0,1.6,1.1,2.5,cracked wheat bread,cracked wheat bread
0.095,0.034,0.2,11.6,17.9,1.3,151.0,1.6,1.1,7.1,3.6,garlic bread,garlic bread
0.047,0.039,0.2,23.2,15.4,0.9,82.0,1.2,1.9,1.0,2.7,rye bread toasted,rye bread toasted
0.0,0.084,0.2,15.2,23.6,1.4,128.0,1.8,2.8,2.5,3.9,whole wheat bread,whole wheat bread
0.0,0.012,0.2,15.1,23.7,1.4,128.0,1.8,2.8,2.5,3.9,whole wheat bread toasted,whole wheat bread toasted
0.8,0.038,0.1,54.2,35.5,1.8,231.0,7.9,1.4,7.3,5.9,pan dulce bread,pan dulce bread
0.0,0.064,0.026,18.8,11.8,1.0,66.0,1.3,1.3,1.3,2.4,rice bran bread toasted,rice bran bread toasted
0.0,0.068,0.1,4.2,15.4,0.9,74.0,0.2,2.1,0.7,2.7,pita bread whole wheat,pita bread whole wheat
0.03,0.084,0.2,25.0,13.6,1.0,73.0,1.0,0.6,0.8,2.7,wheat germ bread toasted,wheat germ bread toasted
0.0,0.06,0.2,17.7,12.4,0.7,65.0,0.1,1.7,0.8,2.3,pumpernickel bread,pumpernickel bread
0.0,0.2,0.5,86.6,73.4,6.1,502.0,3.1,0.0,18.6,10.2,frybread,frybread
0.0,0.005,0.2,33.7,15.4,0.9,83.0,1.3,0.7,1.1,2.5,white bread toasted,white bread toasted
0.0,0.0,0.028,51.5,20.2,1.7,109.0,0.4,2.6,2.0,2.5,piki bread,piki bread
0.008,0.048,0.1,39.6,13.4,1.0,75.0,1.5,1.1,1.0,3.1,wheat bread toasted,wheat bread toasted
0.0,0.012,0.3,51.6,33.4,1.6,165.0,0.8,1.3,0.7,5.5,pita bread,pita bread
0.084,0.059,0.1,0.072,15.1,0.072,85.0,3.0,2.0,1.0,4.0,potato bread,potato bread
0.0,0.066,0.2,37.2,19.1,1.2,115.0,0.7,0.9,2.4,3.8,egg bread,egg bread
0.004,0.079,0.1,18.0,13.2,0.7,73.0,2.2,1.1,1.2,2.3,oatmeal bread toasted,oatmeal bread toasted
0.0,0.007,0.4,43.2,21.5,1.2,196.0,1.0,1.0,10.0,5.0,cheese bread,cheese bread
0.0,0.085,0.2,21.5,15.1,0.9,80.0,0.2,2.1,1.0,2.8,pumpernickel bread toasted,pumpernickel bread toasted
0.052,0.037,0.1,21.1,16.7,0.9,88.0,1.8,1.4,1.4,2.5,raisin bread,raisin bread
0.0,0.027,0.1,18.8,14.8,0.8,77.0,0.1,1.5,0.8,3.0,pumpernickel roll,pumpernickel roll
0.2,0.03,0.047,4.9,14.4,1.0,71.0,1.6,0.6,0.4,2.5,cinnamon raisin bagel,cinnamon raisin bagel
0.0,0.054,0.2,101.5,25.5,1.6,127.0,0.9,2.6,1.1,5.0,english muffin,english muffin
0.0,0.008,0.3,12.9,22.8,1.2,123.0,0.5,2.1,1.5,4.4,rye dinner roll,rye dinner roll
0.0,0.091,0.2,174.9,26.7,1.6,134.0,5.3,4.4,1.4,5.8,english muffin whole wheat,english muffin whole wheat
0.0,0.032,0.1,29.7,14.3,0.7,74.0,2.4,2.1,1.3,2.4,dinner roll whole wheat,dinner roll whole wheat
0.0,0.059,0.1,49.3,12.9,1.0,76.0,0.5,1.1,1.8,2.4,dinner roll,dinner roll
0.048,0.2,0.2,0.008,21.1,0.095,117.0,3.1,0.8,1.6,4.1,hotdog roll,hotdog roll
0.1,0.4,0.4,0.019,47.9,0.2,245.0,6.0,4.0,1.5,10.0,bagel,bagel
0.1,0.053,0.4,8.3,36.8,2.1,176.0,1.1,2.5,0.8,7.4,oat bran bagel,oat bran bagel
0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,12.0,0.0,pain au chocolat de la boulangerie,pain au chocolat de la boulangerie
0.2,0.016,0.1,3.4,13.8,1.0,72.0,0.0,0.6,0.5,2.8,egg bagel,egg bagel
0.9,0.041,0.2,102.4,27.4,2.4,140.0,1.8,1.5,1.1,5.4,english muffin toasted,english muffin toasted
0.0,0.089,0.2,175.7,26.9,1.6,135.0,5.4,4.5,1.4,5.9,english muffin whole wheat toasted,english muffin whole wheat toasted
0.2,0.006,0.6,237.4,45.0,2.9,357.0,2.2,1.5,16.5,7.1,biscuit,biscuit
0.0,0.07,0.2,34.6,19.1,1.0,105.0,0.1,1.2,1.6,3.3,french roll,french roll
0.0,0.076,0.1,28.1,13.3,1.4,78.0,2.2,1.4,1.5,3.1,oat bran dinner roll,oat bran dinner roll
0.0,0.016,0.002,4.2,8.2,0.3,76.0,0.0,0.3,4.6,0.7,pecan shortbread cookies,pecan shortbread cookies
0.1,0.051,0.1,9.3,17.2,0.6,113.0,6.2,0.7,4.5,1.6,oatmeal cookies,oatmeal cookies
0.0,0.038,0.8,34.7,81.1,4.5,485.0,33.2,3.8,15.9,7.4,chocolate wafers,chocolate wafers
0.0,0.045,0.3,38.4,58.9,1.9,353.0,30.0,1.5,12.2,4.0,vanilla wafers low fat,vanilla wafers low fat
0.0,0.046,0.058,9.6,18.7,1.1,136.0,9.6,0.6,6.4,1.6,chocolate chip cookies mcdonalds,chocolate chip cookies mcdonalds
0.0,0.0,0.012,5.4,5.4,0.4,29.0,1.4,0.2,0.7,0.4,gingersnap cookies,gingersnap cookies
0.0,0.0,0.0,0.0,0.8,0.0,54.0,0.051,0.0,2.6,0.4,biscotti abbracci mulino bianco,biscotti abbracci mulino bianco
0.052,0.093,0.047,0.036,9.3,0.049,63.0,5.3,0.3,2.8,0.5,chocolate chip cookie,chocolate chip cookie
0.0,0.046,0.2,17.4,38.3,1.4,243.0,22.0,1.3,9.8,2.9,brownie,brownie
0.0,0.05,0.097,2.8,5.2,0.2,40.0,1.2,0.1,1.9,0.5,shortbread cookies,shortbread cookies
0.078,0.069,0.022,15.0,10.3,0.4,65.0,0.0,0.0,2.4,1.0,oatmeal cookies with raisins,oatmeal cookies with raisins
0.093,0.038,0.098,7.4,9.2,0.4,67.0,5.0,0.3,3.0,1.2,peanut butter sandwich cookies,peanut butter sandwich cookies
0.091,0.028,0.007,3.2,10.2,0.3,72.0,5.7,0.1,3.2,0.8,sugar cookies,sugar cookies
0.0,0.019,0.067,8.1,9.3,0.5,68.0,5.8,0.4,3.2,0.8,chocolate covered graham crackers,chocolate covered graham crackers
0.1,0.074,0.077,6.9,10.2,0.3,60.0,7.1,0.2,2.0,0.6,raisin cookies,raisin cookies
0.0,0.067,0.045,1.5,4.3,0.1,28.0,0.0,0.1,1.2,0.3,vanilla wafers,vanilla wafers
0.0,0.013,0.4,20.2,64.5,3.1,355.0,26.1,2.4,8.5,5.8,graham crackers,graham crackers
0.032,0.092,0.1,7.8,11.8,0.4,95.0,0.0,0.0,4.8,1.8,peanut butter cookies,peanut butter cookies
0.0,0.036,0.044,4.1,10.8,0.3,72.0,5.9,0.2,3.0,0.7,vanilla sandwich cookie,vanilla sandwich cookie
0.0,0.069,0.06,2.7,7.1,0.4,51.0,4.3,0.2,2.3,0.4,sugar wafers with creme filling,sugar wafers with creme filling
0.0,0.039,0.3,20.0,18.6,0.7,197.0,1.1,0.6,12.8,2.1,cheese puffs,cheese puffs
0.062,0.075,0.067,0.059,2.2,0.025,13.0,0.063,0.022,0.3,0.3,saltine crackers,saltine crackers
0.4,0.002,0.014,23.4,13.5,0.9,139.0,0.0,0.0,8.8,4.1,trail mix,trail mix
0.0,0.079,0.3,0.8,17.8,0.7,144.0,0.0,0.3,7.6,1.6,corn cones,corn cones
0.076,0.094,0.037,8.1,7.8,0.2,50.0,0.0,0.0,1.8,0.8,chocolate pretzels,chocolate pretzels
0.0,0.041,0.001,11.4,8.9,0.4,73.0,2.1,0.3,3.8,1.3,french toast sticks,french toast sticks
0.087,0.081,0.1,0.036,9.8,0.011,82.0,1.3,0.4,4.2,1.1,crackers,crackers
0.0,0.006,0.09,17.0,4.7,0.055,54.0,0.084,0.3,3.7,1.1,sesame sticks,sesame sticks
0.009,0.039,0.065,0.026,4.2,0.032,34.0,0.3,0.2,1.6,0.8,cheese crackers,cheese crackers
0.037,0.038,0.1,15.3,14.6,0.7,143.0,0.8,3.7,7.2,4.9,oriental rice cracker mix,oriental rice cracker mix
0.0,0.022,0.2,5.5,17.1,1.1,103.0,0.3,0.8,2.4,3.0,breadsticks,breadsticks
0.017,0.056,0.095,18.9,7.7,0.4,50.0,1.8,0.2,1.7,0.8,milk crackers,milk crackers
0.0,0.088,0.002,6.4,22.1,1.3,98.0,0.0,3.3,0.4,3.7,matzo crackers whole wheat,matzo crackers whole wheat
0.07,0.041,0.057,11.2,22.0,0.8,109.0,0.0,0.8,0.6,3.4,matzo crackers with egg,matzo crackers with egg
0.086,0.013,0.067,0.015,3.3,0.074,23.0,1.5,0.3,0.9,0.4,granola bites,granola bites
0.0,0.068,0.2,10.1,19.5,0.9,120.0,0.3,2.9,4.0,3.0,crackers whole wheat,crackers whole wheat
10.6,0.099,0.1,79.8,91.8,3.7,619.0,0.0,0.0,23.9,8.8,tropical trail mix,tropical trail mix
0.0,0.079,0.9,26.5,79.8,4.5,389.0,0.3,2.0,3.6,9.4,soft pretzels,soft pretzels
0.0,0.0,0.084,9.3,7.9,0.2,58.0,0.0,0.7,2.9,0.8,corn tostada shell,corn tostada shell
0.0,0.077,0.0,3.6,23.4,0.9,111.0,0.098,0.8,0.4,2.8,matzo crackers,matzo crackers
0.0,0.051,0.027,11.5,0.9,0.019,9.0,0.6,0.1,0.6,0.2,sesame crunch,sesame crunch
1.9,0.01,0.2,159.1,65.6,4.9,707.0,0.0,0.0,46.6,20.7,trail mix with chocolate chips,trail mix with chocolate chips
0.0,0.2,0.078,26.5,93.0,5.3,440.0,0.4,3.0,2.0,10.7,cracker meal,cracker meal
0.0,0.093,0.053,2.3,34.1,12.0,153.0,0.0,0.6,0.2,2.4,puffed rice,puffed rice
0.0,0.0,0.0,0.0,0.5,0.0,19.0,0.028,0.0,0.2,0.4,filinchen gutena,filinchen gutena
0.0,0.055,0.2,27.9,23.0,1.1,117.0,0.3,1.9,1.0,3.6,melba toast crackers,melba toast crackers
0.026,0.069,0.052,10.1,21.6,1.2,109.0,0.0,1.4,1.1,2.8,matzo crackers with egg onion,matzo crackers with egg onion
0.0,0.0,0.2,2.5,20.3,0.5,126.0,0.2,2.0,4.4,2.4,cornnuts,cornnuts
0.0,0.2,0.4,42.0,116.1,8.8,789.0,10.5,7.2,26.5,21.6,bagel chips,bagel chips
0.084,0.1,0.4,0.01,24.1,0.08,115.0,0.7,1.0,0.9,3.0,pretzels,pretzels
42.0,0.002,0.072,25.6,37.2,1.7,164.0,1.7,4.7,0.2,4.3,potato raw,potato raw
0.0,0.0,0.0,0.0,4.0,0.0,202.0,3.6,0.0,9.4,0.0,gatto di patate home made,gatto di patate home made
0.5,0.1,0.097,0.057,36.6,0.2,161.0,2.0,3.8,0.2,4.3,baked potato,baked potato
17.0,0.043,0.2,6.5,19.2,0.8,188.0,0.006,1.2,12.4,2.4,potato sticks,potato sticks
